epoch,train_loss,val_loss,epoch_sec,throughput_samples_per_sec
1,19.86062853280527,8.824890696579944,13.621132149999994,159271.12196764062
2,4.459169732346452,2.852793145949502,12.572864134000156,172550.42103996486
3,2.8358982223821654,2.5464351403015666,12.563635526000326,172677.167807864
4,2.1170092262583236,1.6547720812972069,12.61067111300008,172033.11231894357
5,1.8920696385889137,1.5749307600853073,12.711780259999614,170664.76572338626
6,1.8423370434311617,1.563036137797291,12.497991657000057,173584.1293176813
7,1.8090551697148158,1.53137513772083,12.593813865999891,172263.38447457715
8,1.7898709698078354,1.5275703340530669,12.578527480000048,172472.7320784922
9,1.7628769206293913,1.5093068674788215,12.658028373999969,171389.48783336053
10,1.7479279245329686,1.4840704528366255,12.640695424000114,171624.49748460774
11,1.7304756585219614,1.4803717004046948,12.479886432000058,173835.95690720706
12,1.7182974676127867,1.5141576833460475,12.741512136999972,170266.52540714876
13,1.7039837825929964,1.4687390817199737,12.690889910999886,170945.6953148429
14,1.6901727940704352,1.460089347634794,12.602586167000027,172143.47684293007
15,1.679589755022991,1.4430983278433305,12.54582431200015,172922.3163060642
16,1.6676281599240963,1.4422190853092516,12.649111943000207,171510.30125878018
17,1.657280180541989,1.4368369779314432,12.512903456999993,173377.2667115369
18,1.6531382303871722,1.424265346754523,12.607891912000014,172071.03416988728
19,1.6447204751662203,1.4213721872157752,12.770734554000228,169876.91591479
20,1.6328270537088923,1.419833440882647,12.53888551,173018.00851996135
21,1.6253565065299125,1.4135898639451223,12.623003300000164,171865.04260836024
22,1.6200692377542738,1.4460591483996967,12.575701335999838,172511.4919666241
23,1.6113665356531623,1.4136685409784087,12.71549224699993,170614.94418447363
24,1.6052453375623912,1.4001158449177964,12.593068237999887,172273.58408601512
25,1.5978181389883215,1.3993610284797233,12.537132508000013,173042.2007277709
26,1.5928060992308801,1.3961427490316596,12.535240541999883,173068.3182928282
27,1.588177982001717,1.4803933239412028,12.704123643000003,170767.6232508468
28,1.5820250372835856,1.4156293698621931,12.636583211000016,171680.34774712785
29,1.573668841038927,1.3841981027290942,12.490186641000037,173692.6006276477
30,1.5712260090653243,1.404507911807169,12.735452322000128,170347.54205410767
31,1.5651022487307888,1.3814155050926251,12.544874869000068,172935.4037130323
32,1.559505112190945,1.3816747721235905,12.595728100000088,172237.2047710354
33,1.5562843872469494,1.3768219430559312,12.516102790000332,173332.94847444622
34,1.5513949923442714,1.371895106036041,12.722134754999843,170525.86234770055
35,1.5475926181743884,1.3910871323354397,12.48108017100003,173819.3305608881
36,1.5434014394802076,1.368978369525184,12.608460900999944,172063.26902500418
37,1.5388731224527632,1.3678067044893638,12.626978307999707,171810.9390134584
38,1.5354415039581828,1.3837002608530642,12.50726927400001,173455.3684320076
39,1.5309595050262357,1.3638167696449892,12.471823691999816,173948.33775525697
40,1.527873383910124,1.3652585888898252,12.61645095799986,171954.3005574313
41,1.5240781211901515,1.3579951435841198,12.717574574999617,170587.0083329207
42,1.520229208912736,1.352310972741381,12.58041758599984,172446.8194453484
43,1.5174936747014804,1.3505589945047114,12.539140727999893,173014.48696206216
44,1.5137582880416867,1.3519587204483412,12.466470531000141,174023.0319885056
45,1.5114054162946058,1.3564309019905214,12.576418844000273,172501.64986632604
46,1.5103861268716687,1.3475562292070224,12.49668888999986,173602.22528513506
47,1.5063710582767107,1.3493308532958637,12.433323618000031,174486.97280421696
48,1.5024581451689416,1.3392796699202902,12.646391484000105,171547.19611082238
49,1.5008374162642064,1.3428977479492832,12.467849283000305,174003.78772287627
50,1.4966763679578257,1.3374223655069912,12.41045412099993,174808.51053862998
